"first_name","last_name","email","Remaining Goal Amount"
"Justine","Mancini","justine.mancini@tiscali.it",116195.00
"Rhonda","Phillips","rhonda.phillips@yahoo.com",114641.00
"Miriam","Oquendo","miriam.oquendo@smith-watson.biz",113450.00
"Stefano","Lemonnier","stefano.lemonnier@binner.com",112302.00
"Tracey","Laboy","tracey.laboy@bell.biz",110583.00
"Alfonso","Finetti","alfonso.finetti@quiroz.com",107577.00
"Biagio","Valenzuela","biagio.valenzuela@robinson.info",103755.00
"Antonia","Kline","antonia.kline@gmail.com",101862.00
"Janice","Infantino","janice.infantino@hotmail.com",101563.00
"Leon","Baker","leon.baker@hotmail.com",101510.00
"Alonso","Palomo","alonso.palomo@gehringer.de",100948.00
"Joe","Michaud","joe.michaud@yahoo.fr",100031.00
"Chantal","Armas","chantal.armas@jenkins.net",98164.00
"Giada","Celentano","giada.celentano@evans.net",95831.00
"Geronimo","Pechel","geronimo.pechel@hotmail.com",95578.00
"Dina","Gibbons","dina.gibbons@brewer.net",94924.00
"Nelly","Marsh","nelly.marsh@hotmail.it",94266.00
"Hanno","Gollum","hanno.gollum@smith.com",93458.00
"Vincent","Singh","vincent.singh@gmail.com",92543.00
"Gianluca","Beck","gianluca.beck@green.biz",89130.00
"Ariadna","Geisel","ariadna.geisel@rangel.com",88154.00
"Gilberto","Evans","gilberto.evans@salcedo-archuleta.net",87993.00
"Aurore","Rosemann","aurore.rosemann@leoncavallo-rusticucci.com",87416.00
"Nath","Rico","nath.rico@yahoo.com",87211.00
"Gianmarco","Alcaraz","gianmarco.alcaraz@zacchia.net",86109.00
"Ottfried","Marques","ottfried.marques@tyler-watson.info",85109.00
"Gabriella","Avila","gabriella.avila@gmail.com",85057.00
"Friedl","Powell","friedl.powell@laposte.net",84842.00
"Arcelia","Babati","arcelia.babati@orange.fr",81621.00
"Alfredo","Ingram","alfredo.ingram@hotmail.com",80332.00
"Meta","Cuzzocrea","meta.cuzzocrea@howard-jensen.org",80079.00
"Laszlo","Vallee","laszlo.vallee@verdier.com",79651.00
"Alejandra","Joseph","alejandra.joseph@escalante-abrego.biz",79612.00
"Aldo","Cibin","aldo.cibin@gmx.de",77403.00
"Dimitri","Posada","dimitri.posada@gmail.com",76878.00
"Isabel","Pruschke","isabel.pruschke@gmail.com",76308.00
"Emiliano","Wells","emiliano.wells@gmx.de",75715.00
"Tina","Rodriguez","tina.rodriguez@web.de",75593.00
"Celia","Ungaretti","celia.ungaretti@fox.com",75460.00
"Raphaela","Gotthard","raphaela.gotthard@outlook.com",75070.00
"Alejandro","Cruz","alejandro.cruz@hotmail.com",74502.00
"Jean","Berthelot","jean.berthelot@oscuro.it",73143.00
"Zacharie","Cordier","zacharie.cordier@gmail.com",72854.00
"Geraldine","Cabrera","geraldine.cabrera@green-smith.info",72796.00
"Courtney","Fiebig","courtney.fiebig@doerschner.com",72471.00
"Mathilde","Kruschwitz","mathilde.kruschwitz@yahoo.com",72323.00
"Brittany","Tran","brittany.tran@tele2.it",72282.00
"Augustin","Wohlgemut","augustin.wohlgemut@watson.info",72076.00
"Guillermina","Nicholson","guillermina.nicholson@grondin.fr",71872.00
"Lauren","Guillaume","lauren.guillaume@sorgatz.org",71489.00
"Pomponio","Comencini","pomponio.comencini@hotmail.co.uk",71036.00
"Steffen","Mangold","steffen.mangold@paul.net",70650.00
"Douglas","Amaya","douglas.amaya@favata-brenna.net",70109.00
"Ottavio","Rust","ottavio.rust@crespi.com",69737.00
"Aimee","Foconi","aimee.foconi@outlook.com",68521.00
"Charlotte","Duke","charlotte.duke@ochoa.org",67212.00
"Guadalupe","Munoz","guadalupe.munoz@murray-hamilton.com.au",67027.00
"Christopher","Poirier","christopher.poirier@hotmail.com",66404.00
"Sergius","Mace","sergius.mace@palazzo.com",66205.00
"Emilia","Vivaldi","emilia.vivaldi@garnier.fr",65004.00
"Oreste","Ward","oreste.ward@proyectos.com",64849.00
"Marcantonio","Bennett","marcantonio.bennett@hopkins.com.au",63690.00
"Kendra","David","kendra.david@allan-morton.com",62756.00
"Marliese","Oneal","marliese.oneal@gmail.com",62697.00
"Fanny","Pertile","fanny.pertile@gmail.com",61426.00
"Lydia","Berengario","lydia.berengario@aol.de",60790.00
"Brett","Jones","brett.jones@alice.it",60442.00
"Karen","Avogadro","karen.avogadro@yahoo.com",57997.00
"Dana","Ritacca","dana.ritacca@gmail.com",57159.00
"Burghard","Rosenow","burghard.rosenow@hotmail.com",56177.00
"Mason","Potter","mason.potter@gmail.com",56077.00
"Zaira","Cattaneo","zaira.cattaneo@yahoo.com",56007.00
"Yolanda","Snyder","yolanda.snyder@gmx.de",55686.00
"Stephen","Pratesi","stephen.pratesi@hotmail.com",55645.00
"Itzel","Murphy","itzel.murphy@muelichen.de",55467.00
"Giulietta","Lucas","giulietta.lucas@club.com",54363.00
"Gianfranco","Hethur","gianfranco.hethur@stewart-lee.com.au",52885.00
"Krystal","Ammaniti","krystal.ammaniti@barbier.fr",52829.00
"Carly","Summers","carly.summers@yahoo.co.uk",52264.00
"Antonina","Cobb","antonina.cobb@gibson.org",51866.00
"Donald","Reynaud","donald.reynaud@green.edu.au",50133.00
"Erin","Weinhold","erin.weinhold@hotmail.fr",49635.00
"Irmi","Schweitzer","irmi.schweitzer@ozuna.com",49163.00
"Reginald","Hughes","reginald.hughes@gmail.com",48990.00
"Marisela","Mende","marisela.mende@godoy-enriquez.com",48928.00
"Elias","Marin","elias.marin@herve.net",48794.00
"Ahmad","Sosa","ahmad.sosa@gmail.com",48745.00
"Michelangelo","Hess","michelangelo.hess@bouygtel.fr",48281.00
"Maik","Beasley","maik.beasley@harper-brooks.biz",47813.00
"Gail","Petrocelli","gail.petrocelli@yahoo.com",45857.00
"Leo","Petruzzi","leo.petruzzi@yahoo.com",45499.00
"Johanne","Strong","johanne.strong@yahoo.de",44602.00
"Pina","Passalacqua","pina.passalacqua@yahoo.co.uk",44516.00
"Isidor","Carpenter","isidor.carpenter@chauvin.com",43513.00
"Johnathan","Guidotti","johnathan.guidotti@cox-sanchez.net",43164.00
"Amber","Weller","amber.weller@toso.eu",42923.00
"Kerry","Patel","kerry.patel@hutchinson.com",42786.00
"Cristina","Chevalier","cristina.chevalier@proyectos.com",41828.00
"Henry","Gucci","henry.gucci@leleu.fr",41198.00
"Gabriela","Padilla","gabriela.padilla@pearson-russell.com",40291.00
"Christine","Hiller","christine.hiller@yahoo.com",38177.00
"Leila","Washington","leila.washington@gmail.com",37385.00
"Sharon","Diallo","sharon.diallo@gmail.com",37241.00
"Dino","Osborne","dino.osborne@despacho.com",36972.00
"Dylan","Porzio","dylan.porzio@yahoo.de",36669.00
"Rosa","Paul","rosa.paul@bien.com",36426.00
"Alessio","Bruneau","alessio.bruneau@hotmail.co.uk",35354.00
"Allegra","Benedetti","allegra.benedetti@miller.com",35177.00
"Terri","Iannelli","terri.iannelli@hotmail.com",35173.00
"Giuseppina","Tanguy","giuseppina.tanguy@wanadoo.fr",34664.00
"Folker","Swanson","folker.swanson@rodrigues.fr",34111.00
"Eugenio","Martin","eugenio.martin@yahoo.de",34083.00
"Karolin","Johann","karolin.johann@hotmail.com",33083.00
"Amanda","Palmer","amanda.palmer@didier.fr",32169.00
"Brenda","Sontag","brenda.sontag@solari.com",31946.00
"Florentine","Saraceno","florentine.saraceno@gmail.com",31708.00
"Emmanuelle","Keller","emmanuelle.keller@morton-clarke.com",30879.00
"Ivo","Moreno","ivo.moreno@hotmail.com",30640.00
"Dulce","Adinolfi","dulce.adinolfi@hotmail.com",30424.00
"Alyssa","Brun","alyssa.brun@chittolini-spadafora.it",30147.00
"Emine","Tacchini","emine.tacchini@dbmail.com",28940.00
"Bertrand","Hopkins","bertrand.hopkins@gmail.com",28795.00
"Gareth","Comolli","gareth.comolli@tiscali.fr",28777.00
"Venancio","Stadelmann","venancio.stadelmann@gmx.de",28004.00
"Hortense","Taylor","hortense.taylor@chambers.biz",27326.00
"Jake","Wiley","jake.wiley@outlook.com",27307.00
"Jerry","Santiago","jerry.santiago@soprano-ferragni.it",26980.00
"Glen","Faivre","glen.faivre@yahoo.com",26907.00
"Rafael","Alexander","rafael.alexander@jenkins.com",25998.00
"Korinna","Arnold","korinna.arnold@zapata-saenz.biz",25376.00
"Richard","Andre","richard.andre@porras.org",25063.00
"Hugh","Cantu","hugh.cantu@libero.it",22855.00
"Irina","Martineau","irina.martineau@gmail.com",22661.00
"Baccio","Marcacci","baccio.marcacci@laposte.net",21907.00
"Eloy","Renzi","eloy.renzi@gmail.com",21407.00
"Laura","Buckley","laura.buckley@ryan.org",21318.00
"Stefani","Ughi","stefani.ughi@hotmail.it",21180.00
"Raisa","Poulain","raisa.poulain@fastwebnet.it",21006.00
"Valentine","Acosta","valentine.acosta@peters.net",20691.00
"Damaris","Pininfarina","damaris.pininfarina@gmail.com",17809.00
"Martyn","Caldera","martyn.caldera@hotmail.co.uk",17572.00
"Toby","Etzler","toby.etzler@industrias.com",17523.00
"Logan","Hornich","logan.hornich@tin.it",16494.00
"Ennio","Leoncavallo","ennio.leoncavallo@sanchez.org",16036.00
"Liliana","Barber","liliana.barber@libero.it",15564.00
"Randy","Alfieri","randy.alfieri@verri.org",14685.00
"Mariano","Prieto","mariano.prieto@vodafone.it",14450.00
"Frank","Henry","frank.henry@yahoo.com",13948.00
"Giustino","Luzi","giustino.luzi@rolland.fr",13617.00
"Astrid","Roht","astrid.roht@fastwebnet.it",13339.00
"Dustin","Camacho","dustin.camacho@rhodes.org.au",13324.00
"Frida","Villarreal","frida.villarreal@hotmail.de",13288.00
"Susi","Steinberg","susi.steinberg@preiss.com",12857.00
"Anita","Galindo","anita.galindo@gmail.com",11252.00
"Lilia","Lollobrigida","lilia.lollobrigida@le.com",10978.00
"Evangelos","Peters","evangelos.peters@sanchez.net",10212.00
"Linda","Franceschi","linda.franceschi@richards.net",9978.00
"Roman","Gonzalez","roman.gonzalez@anderson.net",9486.00
"Jorge","Monti","jorge.monti@clement.fr",9378.00
"Reinhilde","White","reinhilde.white@voila.fr",9371.00
"Marzena","Carrero","marzena.carrero@roskoth.de",9176.00
"Laurence","Lucero","laurence.lucero@martin.org",8845.00
"Edelgard","Kreusel","edelgard.kreusel@hotmail.com",8672.00
"Alexandria","Best","alexandria.best@yahoo.co.uk",8631.00
"Hilary","Clark","hilary.clark@libero.it",8554.00
"Sonja","Patberg","sonja.patberg@hotmail.com",8432.00
"Svenja","Perrin","svenja.perrin@berger.com",8362.00
"Berthold","Randall","berthold.randall@mcdonald.com",8178.00
"Hartmuth","Robertson","hartmuth.robertson@thomas.edu.au",8030.00
"Nathalie","Alvarez","nathalie.alvarez@live.com",7539.00
"Florencia","Querini","florencia.querini@gmail.com",7282.00
"Enzio","Campos","enzio.campos@tim.it",7257.00
"Birgit","Pena","birgit.pena@armellini.it",7233.00
"Graham","Bajardi","graham.bajardi@yahoo.com",7123.00
"Lorenzo","Roero","lorenzo.roero@hotmail.co.uk",7064.00
"Penny","Watson","penny.watson@matthews.net",6752.00
"Timothy","Weitzel","timothy.weitzel@gmail.com",6654.00
"Megan","Kuhl","megan.kuhl@despacho.com",6583.00
"Patricia","Liebelt","patricia.liebelt@baca.org",6583.00
"Lorraine","Crawford","lorraine.crawford@gmail.com",6451.00
"Brunhilde","Fletcher","brunhilde.fletcher@schomber.de",6363.00
"Samantha","Lowe","samantha.lowe@praga.it",6280.00
"Maggie","Boito","maggie.boito@yahoo.com",6214.00
"Damian","Pulido","damian.pulido@yahoo.de",6189.00
"Natalia","Seifert","natalia.seifert@ifrance.com",6097.00
"Trevor","Granados","trevor.granados@gmail.com",6078.00
"Clayton","Salcedo","clayton.salcedo@hotmail.co.uk",6073.00
"Erica","Zambrano","erica.zambrano@gmail.com",6068.00
"Puccio","Kitzmann","puccio.kitzmann@yahoo.com",5999.00
"Pierre","Cardenas","pierre.cardenas@luzi-bonomo.eu",5986.00
"Zbigniew","Holmes","zbigniew.holmes@stiffel.net",5869.00
"Agathe","Dias","agathe.dias@jackson.com",5705.00
"Santiago","Berry","santiago.berry@aol.de",5649.00
"Jemma","Tate","jemma.tate@hotmail.de",5575.00
"Alphons","Simmons","alphons.simmons@hotmail.com",5511.00
"Espartaco","Willis","espartaco.willis@hotmail.com",5504.00
"Slobodan","Camiscione","slobodan.camiscione@hotmail.com",5473.00
"Kaitlyn","Farinelli","kaitlyn.farinelli@outlook.com",5435.00
"Christy","Grossi","christy.grossi@alarcon-tafoya.com",5403.00
"Melinda","Canova","melinda.canova@orange.fr",5331.00
"Adina","Pollard","adina.pollard@outlook.com",5300.00
"Donatello","Millet","donatello.millet@fritsch.net",5256.00
"Karina","Arreola","karina.arreola@yahoo.com.au",5242.00
"Victoria","Ojeda","victoria.ojeda@doehn.com",5212.00
"Laure","Traetta","laure.traetta@kay-perkins.co.uk",5176.00
"Kristie","Garrett","kristie.garrett@wernecke.com",5167.00
"Ben","Maillot","ben.maillot@ramos.net",5149.00
"Andrew","Torres","andrew.torres@ruiz-torres.org",5040.00
"Alban","Barbier","alban.barbier@ortiz.org",5040.00
"Tony","Nicolas","tony.nicolas@morrocco-seddio.net",5011.00
"Virginia","Caetani","virginia.caetani@sosa.biz",4970.00
"Shelley","Perry","shelley.perry@gierschner.de",4940.00
"John","Lane","john.lane@gregoire.fr",4873.00
"Alain","Farmer","alain.farmer@hotmail.it",4809.00
"Mohammad","Hartung","mohammad.hartung@hotmail.com",4797.00
"Erika","Toussaint","erika.toussaint@sfr.fr",4768.00
"Tammy","Ramazzotti","tammy.ramazzotti@gmail.com",4741.00
"Federigo","Karge","federigo.karge@bohlander.com",4706.00
"Fortunata","Schneider","fortunata.schneider@tiscali.it",4671.00
"Aaron","Anaya","aaron.anaya@hotmail.com.au",4656.00
"Hanna","Reid","hanna.reid@salas.org",4526.00
"Harald","Roy","harald.roy@web.de",4501.00
"Aleksandr","Weiss","aleksandr.weiss@blanc.org",4498.00
"Ludger","Naccari","ludger.naccari@ingram.biz",4497.00
"Marissa","Gaito","marissa.gaito@reed-campbell.edu",4391.00
"Tonino","Stanley","tonino.stanley@hotmail.com",4379.00
"Babette","Dumas","babette.dumas@brady.net",4354.00
"Reingard","Kambs","reingard.kambs@sagese.eu",4288.00
"Giuseppe","Lee","giuseppe.lee@mahe.org",4286.00
"Jeffrey","Trommler","jeffrey.trommler@yahoo.com",4169.00
"Philippine","Vaca","philippine.vaca@hotmail.com",4147.00
"David","Rudolph","david.rudolph@nelson.com",4143.00
"Carolina","Murray","carolina.murray@knight.com",4110.00
"Thibault","Savorgnan","thibault.savorgnan@butler.biz",4104.00
"Matthew","Velasquez","matthew.velasquez@gmail.com",3990.00
"Terry","Ramirez","terry.ramirez@hotmail.co.uk",3961.00
"Tadeusz","Medina","tadeusz.medina@jackson-clark.net",3900.00
"Luc","Quinn","luc.quinn@walker.com",3899.00
"Pierpaolo","Scaduto","pierpaolo.scaduto@sanders-gibson.com.au",3887.00
"Alf","Bates","alf.bates@dunn.com",3874.00
"Ryan","Kim","ryan.kim@noos.fr",3803.00
"Colette","Ryan","colette.ryan@hotmail.com",3778.00
"Caroline","Reeves","caroline.reeves@yahoo.com",3768.00
"Katarina","Clarke","katarina.clarke@hotmail.com.au",3739.00
"Ruby","Carriera","ruby.carriera@hotmail.it",3708.00
"Eduardo","Delattre","eduardo.delattre@lynch.net.au",3686.00
"Dragica","West","dragica.west@yahoo.com.au",3668.00
"Ria","Venier","ria.venier@murillo-estevez.com",3617.00
"Nancy","Hayes","nancy.hayes@hotmail.com",3588.00
"Sean","Mielcarek","sean.mielcarek@gmail.com",3527.00
"Matthieu","Mcdonald","matthieu.mcdonald@morrison.org",3525.00
"Iris","Trincavelli","iris.trincavelli@tiscali.fr",3511.00
"Patrizio","Cisneros","patrizio.cisneros@martinez.edu.au",3482.00
"Lewis","Lewis","lewis.lewis@pisano.net",3465.00
"Isabella","Deleon","isabella.deleon@web.de",3402.00
"Graziano","Jensen","graziano.jensen@gmail.com",3396.00
"Mirko","Townsend","mirko.townsend@schmitt.com",3395.00
"Bernardo","Wieloch","bernardo.wieloch@budig.com",3385.00
"Janet","Madrigal","janet.madrigal@gmail.com",3297.00
"Arnaude","Warner","arnaude.warner@gmail.com",3285.00
"Caleb","Benavides","caleb.benavides@rubio.com",3270.00
"Heiderose","Garcia","heiderose.garcia@noos.fr",3260.00
"Ernesto","Nerger","ernesto.nerger@middleton.co.uk",3199.00
"Gary","Armani","gary.armani@web.de",3155.00
"Angela","Bowers","angela.bowers@laboratorios.com",3141.00
"Emmanuel","Dominguez","emmanuel.dominguez@gmail.com",3073.00
"Charles","Begum","charles.begum@laboratorios.info",3062.00
"Jessika","Meunier","jessika.meunier@gmx.de",3036.00
"Vicente","Tijerina","vicente.tijerina@montanariello.com",3022.00
"Stephanie","King","stephanie.king@cervantes.com",3011.00
"Evangelista","Pereira","evangelista.pereira@thompson-peterson.biz",2997.00
"Danielle","Ladeck","danielle.ladeck@scalfaro.net",2992.00
"Reiner","Poerio","reiner.poerio@yahoo.com",2831.00
"Steven","Folliero","steven.folliero@noos.fr",2787.00
"Olivier","Petrucelli","olivier.petrucelli@letta-raurica.eu",2748.00
"Jack","Klapp","jack.klapp@hotmail.com.au",2724.00
"Beth","Miniati","beth.miniati@hudson.net",2680.00
"Toni","Magrassi","toni.magrassi@gmail.com",2639.00
"Gunhild","Carrillo","gunhild.carrillo@elliott-gilbert.org",2637.00
"Fabrizia","Renard","fabrizia.renard@higgins-marks.com",2613.00
"Piermaria","Laporte","piermaria.laporte@wesack.com",2548.00
"Corrado","Warren","corrado.warren@hotmail.com.au",2435.00
"Jo","Mccarty","jo.mccarty@hotmail.com",2395.00
"Wendy","Bustos","wendy.bustos@libero.it",2380.00
"Bonnie","Cignaroli","bonnie.cignaroli@yahoo.com",2357.00
"Samuel","Sorgatz","samuel.sorgatz@gmail.com",2335.00
"Tomislav","Stoppani","tomislav.stoppani@corporacin.org",2276.00
"Helen","Polanco","helen.polanco@hotmail.com",2237.00
"Gerardo","Hamilton","gerardo.hamilton@libero.it",2212.00
"Arthur","Salazar","arthur.salazar@yahoo.com.au",2201.00
"Jelena","Stiffel","jelena.stiffel@trupp.de",2192.00
"Pascual","Corradi","pascual.corradi@lopez.net.au",2171.00
"Gottfried","Barbe","gottfried.barbe@hotmail.com",2159.00
"Livia","Ernst","livia.ernst@colas.fr",2136.00
"Anel","Carpentier","anel.carpentier@klein-joseph.org",2121.00
"Catherine","Gray","catherine.gray@hotmail.com",2098.00
"Istvan","Draghi","istvan.draghi@ifrance.com",2014.00
"Reina","Middleton","reina.middleton@hotmail.com",1988.00
"Pia","Burgess","pia.burgess@proyectos.org",1858.00
"Javier","Tessier","javier.tessier@mclaughlin.biz",1846.00
"Francisca","Becerra","francisca.becerra@young.com.au",1823.00
"Silvano","Blanchet","silvano.blanchet@yahoo.com",1823.00
"Gelsomina","Migliaccio","gelsomina.migliaccio@junk.com",1786.00
"Leokadia","Verdier","leokadia.verdier@hotmail.com.au",1773.00
"Diane","Rogner","diane.rogner@kelly.co.uk",1757.00
"Mathew","Maestas","mathew.maestas@casas-garrido.com",1755.00
"Katherina","Barrientos","katherina.barrientos@trobbiani.eu",1750.00
"Jeanette","Iannotti","jeanette.iannotti@yahoo.com",1723.00
"Angelina","Davies","angelina.davies@hotmail.com",1697.00
"Nicolaus","Bernetti","nicolaus.bernetti@aol.de",1688.00
"Gerd","Gunpf","gerd.gunpf@gmail.com",1677.00
"Elvira","Papafava","elvira.papafava@ifrance.com",1670.00
"Phyllis","Gurule","phyllis.gurule@rodriguez-pham.com",1668.00
"Kenneth","Hurst","kenneth.hurst@meunier.net",1662.00
"Marcus","Espino","marcus.espino@comolli.eu",1652.00
"Micheletto","Sykes","micheletto.sykes@thompson-thompson.com",1647.00
"Gioele","Schwital","gioele.schwital@moody.com",1627.00
"Scott","Gough","scott.gough@industrias.com",1598.00
"Clelia","Faulkner","clelia.faulkner@hotmail.com",1593.00
"Nicole","Mccullough","nicole.mccullough@hall.com",1575.00
"Maurizio","Gute","maurizio.gute@knight.info",1560.00
"Imelda","Guerin","imelda.guerin@stumpf.net",1559.00
"Danny","Farrell","danny.farrell@hotmail.com",1503.00
"Gerda","Cook","gerda.cook@tin.it",1444.00
"Ruggero","Parpinel","ruggero.parpinel@gmail.com",1331.00
"Marie","Zoppetto","marie.zoppetto@kallert.de",1320.00
"Nadia","Travaglio","nadia.travaglio@colletti-broggini.com",1320.00
"Livio","Rosselli","livio.rosselli@green.co.uk",1276.00
"Lori","Fagotto","lori.fagotto@hill-anderson.com",1263.00
"Yvette","Harding","yvette.harding@yahoo.co.uk",1222.00
"Arnaldo","Ocasio","arnaldo.ocasio@hotmail.com",1221.00
"Paulina","Miller","paulina.miller@lewis-barker.com",1221.00
"Karl","Trevisani","karl.trevisani@anguissola.it",1200.00
"Vanesa","Khan","vanesa.khan@voila.fr",1162.00
"Kasimir","Jaime","kasimir.jaime@gmail.com",1155.00
"Samira","Bottaro","samira.bottaro@vasseur.fr",1131.00
"Donatella","Burns","donatella.burns@yahoo.de",1115.00
"Grace","Kroker","grace.kroker@hotmail.com",1085.00
"Federico","Marie","federico.marie@jourdan.fr",1013.00
"Vincentio","Sanders","vincentio.sanders@voila.fr",961.00
"Alberto","Girschner","alberto.girschner@laboratorios.com",903.00
"Harry","Fouquet","harry.fouquet@ibarra-cooper.com",868.00
"Wilfrido","Lorch","wilfrido.lorch@leclerc.fr",864.00
"Mitchell","Bachmann","mitchell.bachmann@suarez-cruz.com",832.00
"Evan","Schacht","evan.schacht@price.com",822.00
"Sole","Trevino","sole.trevino@hotmail.com",780.00
"Angelo","Lozano","angelo.lozano@macias.com",780.00
"Eva","Francis","eva.francis@parker.org",757.00
"Gunar","Patrick","gunar.patrick@leroy.com",720.00
"Sandra","Hardy","sandra.hardy@web.de",671.00
"Stanley","Mills","stanley.mills@parker-lee.biz",626.00
"Justin","Luxardo","justin.luxardo@googlemail.com",608.00
"Hazel","Pierce","hazel.pierce@outlook.com",603.00
"Bernard","Durand","bernard.durand@royer.com",591.00
"Ron","Cavazos","ron.cavazos@yahoo.com",576.00
"Anna","Freeman","anna.freeman@snyder.net",562.00
"Gavin","Proietti","gavin.proietti@gmx.de",438.00
"Tobias","Carbajal","tobias.carbajal@live.com",426.00
"Jos","Trobbiani","jos.trobbiani@samson.com",415.00
"Evelin","Odonnell","evelin.odonnell@ibarra.net",401.00
"Kathleen","Solimena","kathleen.solimena@wallace.biz",384.00
"Caridad","Carr","caridad.carr@huhn.com",332.00
"Leonor","Ferreira","leonor.ferreira@gmail.com",282.00
"Emily","Cundari","emily.cundari@clark.com.au",273.00
"Maximilian","Siering","maximilian.siering@gaito-fornaciari.org",250.00
"Shelly","Guichard","shelly.guichard@gmail.com",206.00
"Romana","Blanchard","romana.blanchard@googlemail.com",205.00
"Blanka","Villareal","blanka.villareal@monduzzi.net",194.00
"Pam","Vargas","pam.vargas@guillot.net",176.00
"Margaretha","Murialdo","margaretha.murialdo@meunier.com",137.00
"Elsa","Cugia","elsa.cugia@yahoo.com",134.00
"Giorgia","Dijoux","giorgia.dijoux@paul.com",124.00
"Rico","Mortati","rico.mortati@faivre.fr",100.00
"Cecilia","Velasco","cecilia.velasco@rodrigues.fr",100.00
"Brigitta","Shaw","brigitta.shaw@hotmail.co.uk",99.00
"Rembrandt","Liguori","rembrandt.liguori@davis.org",99.00
"Fiona","Griffiths","fiona.griffiths@curatoli-verdone.it",99.00
"Uberto","Steele","uberto.steele@outlook.com",99.00
"Israel","Watkins","israel.watkins@hotmail.com",99.00
"Bethany","Hartmann","bethany.hartmann@yahoo.com",98.00
"Nicholas","Christian","nicholas.christian@hotmail.de",98.00
"Augusto","Vercelloni","augusto.vercelloni@club-internet.fr",98.00
"Odette","Moore","odette.moore@hall.edu",98.00
"Vincenza","Key","vincenza.key@adams.com",98.00
"Roy","Fox","roy.fox@tejeda.com",97.00
"Sabine","Lachmann","sabine.lachmann@phillips.org",97.00
"Dale","Leblanc","dale.leblanc@stewart.com",96.00
"Suzanne","Benigni","suzanne.benigni@mennea-morlacchi.com",96.00
"Benjamin","Schultz","benjamin.schultz@rivero-davila.com",95.00
"Mirjana","Collins","mirjana.collins@hotmail.com",95.00
"Julie","Coles","julie.coles@hotmail.fr",95.00
"Rosl","Lamborghini","rosl.lamborghini@hiller.net",95.00
"Leopoldo","Johnson","leopoldo.johnson@hotmail.com.au",73.00
"Bryan","Ross","bryan.ross@yahoo.com",66.00
"Nuray","Anguillara","nuray.anguillara@yahoo.co.uk",53.00
"Katharine","Zaccagnini","katharine.zaccagnini@hotmail.com",25.00
"Jonas","Badoer","jonas.badoer@kennedy.biz",-17.00
"Gebhard","Thanel","gebhard.thanel@gmail.com",-22.00
"Karla","Medici","karla.medici@yahoo.com",-48.00
"Catalina","Pizzetti","catalina.pizzetti@tim.it",-56.00
"Francesca","Kade","francesca.kade@luna-rael.org",-69.00
"Amy","Georges","amy.georges@raedel.de",-117.00
"Bill","Gallagher","bill.gallagher@green.com",-139.00
"Rebecca","Greer","rebecca.greer@hotmail.com",-255.00
"Antoinette","Cox","antoinette.cox@bustamante.com",-283.00
"Wolf","Lutz","wolf.lutz@nichols-jackson.com.au",-321.00
"Fridolin","Comboni","fridolin.comboni@graf.com",-329.00
